Study_Hours,Attendance,Previous_Score,Assignments_Completed,Sleep_Hours,Final_Score,Result
3.03,90.79,43.44,2,4.17,59.31,Pass
2.13,61.22,47.12,10,8.95,62.97,Pass
7.51,61.19,46.05,5,4.15,66.43,Pass
6.66,76.85,88.64,4,6.22,83.43,Pass
5.43,79.65,74.26,2,6.52,69.09,Pass
7.1,79.0,44.13,5,4.59,70.26,Pass
6.63,54.57,61.42,10,4.85,77.56,Pass
2.31,93.87,71.92,7,5.76,67.05,Pass
7.25,63.28,40.01,7,7.81,68.58,Pass
4.78,56.48,87.94,2,6.54,68.39,Pass
6.65,94.44,83.22,3,7.19,86.74,Pass
7.27,97.78,65.31,7,8.93,84.48,Pass
3.23,93.11,93.03,3,7.84,74.82,Pass
1.77,90.48,60.07,4,6.17,62.32,Pass
2.6,82.76,94.05,5,6.23,80.98,Pass
3.99,77.54,75.08,6,7.09,67.15,Pass
6.73,54.35,73.08,10,7.33,74.65,Pass
7.03,70.42,44.96,5,6.5,63.61,Pass
1.05,68.63,87.92,10,7.22,72.51,Pass
4.58,62.99,60.65,4,4.12,50.53,Pass
3.92,86.17,44.73,9,6.15,75.37,Pass
2.55,74.79,35.76,2,5.39,46.42,Pass
1.84,54.05,68.59,10,4.65,61.29,Pass
3.36,61.01,66.64,10,4.5,75.5,Pass
7.6,84.16,78.16,3,7.02,83.91,Pass
3.26,53.81,88.42,5,6.62,65.32,Pass
4.63,92.56,39.76,9,5.27,69.28,Pass
5.92,74.76,78.89,8,6.35,80.52,Pass
3.55,74.03,46.24,2,6.46,61.55,Pass
7.8,79.62,86.49,6,4.98,83.82,Pass
7.74,91.23,84.14,8,7.26,85.1,Pass
2.76,67.39,67.45,5,7.9,54.96,Pass
4.48,83.9,77.61,2,7.96,79.27,Pass
3.11,78.29,53.86,10,7.01,65.66,Pass
2.99,63.35,63.27,6,6.56,65.69,Pass
1.26,93.93,84.3,3,4.31,66.16,Pass
5.27,89.87,62.56,9,5.44,75.47,Pass
4.52,82.92,56.47,3,4.47,60.35,Pass
1.36,92.53,64.65,4,8.82,73.66,Pass
2.95,93.36,84.69,2,4.68,61.73,Pass
7.36,85.42,55.11,3,4.76,67.32,Pass
2.68,91.85,45.43,8,8.45,72.22,Pass
2.01,84.87,77.72,3,8.72,62.0,Pass
4.43,84.01,84.56,7,7.83,88.14,Pass
7.9,80.93,41.04,4,4.03,69.64,Pass
2.69,87.64,49.39,5,4.01,59.6,Pass
5.7,57.93,43.52,9,5.89,62.03,Pass
6.33,94.04,55.88,4,4.72,63.5,Pass
2.66,93.59,62.02,7,4.09,70.71,Pass
6.1,51.46,79.93,2,6.32,80.41,Pass
3.57,91.29,74.07,8,8.72,80.87,Pass
5.43,56.44,72.26,9,5.62,64.08,Pass
5.43,66.76,56.14,9,7.31,74.48,Pass
4.75,87.18,85.49,4,7.26,82.61,Pass
1.63,58.04,63.28,2,5.26,45.45,Pass
6.85,90.9,93.75,10,7.25,93.13,Pass
3.25,91.61,73.05,7,5.06,69.42,Pass
2.31,75.37,42.58,10,4.61,57.38,Pass
1.29,50.32,75.57,8,7.51,62.39,Pass
5.14,64.35,54.51,2,4.57,52.18,Pass
5.74,80.85,76.18,2,8.98,68.83,Pass
1.12,99.06,39.18,7,4.92,58.54,Pass
4.58,81.59,45.49,6,6.97,64.23,Pass
2.59,62.99,86.34,10,6.06,72.52,Pass
5.52,81.7,48.63,3,4.63,61.71,Pass
2.22,77.0,85.22,9,4.14,65.5,Pass
5.84,88.99,51.76,6,7.11,73.81,Pass
3.71,55.35,73.57,3,8.03,60.92,Pass
7.56,88.05,76.65,7,8.21,89.28,Pass
1.96,77.06,65.76,9,6.41,70.38,Pass
3.39,98.15,53.32,5,7.89,74.29,Pass
1.79,67.09,47.76,3,7.36,51.83,Pass
7.47,81.63,36.99,6,7.62,75.52,Pass
7.14,96.6,53.24,3,6.46,71.28,Pass
2.81,55.13,74.19,3,7.17,58.49,Pass
5.62,96.86,91.3,7,8.03,89.9,Pass
6.72,84.39,87.27,10,5.99,94.5,Pass
4.89,53.39,80.96,5,8.03,74.19,Pass
4.71,65.05,82.31,7,6.96,76.37,Pass
2.69,85.41,74.9,8,4.83,65.96,Pass
1.65,53.37,50.62,7,4.12,53.7,Pass
7.28,79.11,89.43,9,5.81,85.45,Pass
7.3,67.29,75.24,5,6.73,72.42,Pass
5.43,81.05,68.63,2,8.2,65.01,Pass
3.37,52.29,41.66,8,4.64,53.23,Pass
3.44,93.58,61.82,4,8.0,75.3,Pass
6.08,98.67,62.62,7,8.32,77.44,Pass
7.28,98.44,86.87,3,4.75,91.81,Pass
7.21,87.48,67.8,10,8.26,93.08,Pass
6.46,56.5,57.82,2,8.96,56.94,Pass
5.49,87.91,93.61,7,7.63,86.22,Pass
1.59,51.23,41.64,7,7.92,46.16,Pass
2.13,51.11,60.35,6,8.97,62.32,Pass
7.29,66.18,37.52,6,7.03,60.39,Pass
5.25,74.43,79.39,2,5.54,61.05,Pass
1.06,88.52,90.08,6,8.19,73.52,Pass
1.71,84.16,51.8,3,7.07,62.28,Pass
5.64,72.3,86.5,8,6.91,81.78,Pass
1.04,63.68,52.53,4,5.27,51.21,Pass
2.13,99.86,89.65,5,7.78,80.68,Pass
4.84,71.31,80.24,4,4.41,61.74,Pass
5.84,72.57,83.29,4,8.62,73.75,Pass
5.56,58.18,36.08,5,5.63,55.37,Pass
2.57,89.74,92.77,6,4.64,73.11,Pass
5.99,84.68,78.6,2,6.21,82.62,Pass
2.66,61.04,53.29,5,4.21,46.97,Pass
3.28,54.12,84.76,9,7.42,69.25,Pass
6.23,84.02,51.89,8,8.51,78.4,Pass
5.55,82.73,87.37,10,8.19,86.81,Pass
6.94,63.66,41.75,6,4.64,48.0,Pass
5.6,97.54,77.22,5,4.63,88.15,Pass
4.98,57.55,67.44,9,8.07,68.25,Pass
1.66,71.62,40.79,10,8.62,64.47,Pass
3.57,97.18,49.51,8,6.3,63.86,Pass
2.86,70.99,35.74,8,6.49,52.88,Pass
2.71,81.93,63.13,6,5.59,56.94,Pass
7.81,69.88,53.08,5,8.47,69.53,Pass
3.75,63.71,70.9,2,7.22,58.57,Pass
7.24,99.2,52.83,8,5.44,79.27,Pass
5.42,70.47,53.0,2,5.49,57.44,Pass
6.56,94.7,79.59,2,8.46,73.88,Pass
4.52,61.5,37.89,6,4.07,51.19,Pass
5.04,60.66,89.17,10,5.61,87.94,Pass
4.45,51.56,86.14,7,6.77,79.42,Pass
2.37,82.58,75.07,4,4.74,66.8,Pass
6.06,68.43,70.59,4,4.46,71.63,Pass
2.97,93.22,88.54,8,8.08,93.7,Pass
1.17,73.66,46.12,7,8.47,61.01,Pass
5.52,98.41,39.74,10,8.12,80.27,Pass
2.24,59.28,49.37,7,8.49,50.57,Pass
7.58,93.43,82.67,6,6.77,82.81,Pass
7.68,88.83,37.08,8,8.06,75.89,Pass
7.4,88.55,69.97,2,5.92,71.2,Pass
3.59,92.24,94.73,8,7.33,81.0,Pass
1.11,88.05,86.34,4,8.94,67.32,Pass
7.5,81.31,66.29,10,5.13,76.31,Pass
4.0,56.56,38.82,7,5.95,51.4,Pass
7.77,51.63,84.88,10,6.4,86.41,Pass
7.75,96.04,70.94,6,4.69,91.81,Pass
6.97,80.83,41.9,8,4.41,73.57,Pass
3.06,89.83,40.63,5,8.15,64.79,Pass
3.7,74.08,89.58,8,8.88,73.65,Pass
6.96,55.87,75.15,2,6.02,68.49,Pass
3.22,56.26,84.76,8,4.44,68.77,Pass
2.19,84.28,87.74,9,4.33,77.39,Pass
4.9,71.52,69.31,6,8.46,71.72,Pass
7.55,60.03,66.05,3,6.32,77.4,Pass
5.87,74.58,60.83,6,5.6,70.6,Pass
4.99,53.21,54.02,7,6.38,63.59,Pass
1.68,79.1,61.08,3,5.59,46.75,Pass
5.31,63.45,81.43,7,6.45,75.33,Pass
7.93,89.88,71.12,7,8.3,93.39,Pass
1.98,65.52,88.55,2,6.96,66.46,Pass
4.63,72.76,61.6,2,7.47,52.51,Pass
7.14,50.58,71.43,4,5.82,66.24,Pass
6.19,53.62,72.88,4,7.69,78.27,Pass
5.88,69.62,70.5,5,7.33,72.33,Pass
5.92,74.0,77.16,3,4.6,71.93,Pass
3.52,80.0,49.25,10,6.86,77.36,Pass
3.06,64.58,65.74,8,5.28,64.36,Pass
6.67,84.75,41.25,8,8.02,77.87,Pass
6.67,93.01,58.07,7,6.13,80.17,Pass
7.07,88.99,64.26,4,8.97,82.31,Pass
7.39,51.98,74.13,7,4.46,75.17,Pass
4.58,74.03,92.03,9,7.9,82.41,Pass
4.51,55.25,71.04,9,7.37,70.06,Pass
6.59,62.1,79.62,10,7.84,79.99,Pass
5.55,99.33,65.38,2,5.54,63.04,Pass
5.91,57.12,73.05,2,6.46,71.61,Pass
6.57,74.94,39.26,4,7.98,64.53,Pass
7.23,80.91,50.26,4,5.16,74.06,Pass
3.37,85.12,56.71,9,5.13,77.03,Pass
3.63,77.98,63.35,2,6.76,62.11,Pass
1.66,50.49,37.74,3,6.62,35.85,Needs Support
5.05,66.32,43.4,3,5.41,54.4,Pass
1.25,75.89,51.61,4,5.49,49.4,Pass
4.26,54.39,93.29,7,5.39,63.96,Pass
4.8,67.53,54.88,2,7.86,58.01,Pass
3.01,51.66,63.92,3,7.26,55.66,Pass
5.14,53.93,46.77,2,8.16,52.27,Pass
1.21,69.85,71.65,6,8.88,61.37,Pass
1.26,56.64,51.84,8,6.37,48.71,Pass
6.76,78.38,47.42,9,4.33,72.77,Pass
3.52,84.47,65.99,2,4.24,70.45,Pass
1.89,90.03,35.33,8,5.48,64.56,Pass
4.66,60.01,35.46,6,8.66,61.72,Pass
6.39,58.37,48.14,2,6.62,61.74,Pass
2.51,55.23,37.2,4,5.36,44.87,Pass
5.36,81.82,41.48,8,6.0,58.55,Pass
1.6,85.32,55.33,2,6.99,54.24,Pass
1.36,51.58,83.16,8,7.26,61.27,Pass
4.72,96.81,69.32,6,4.77,75.76,Pass
4.78,52.6,65.76,2,8.89,67.96,Pass
5.46,77.06,52.61,2,6.72,72.27,Pass
6.08,85.45,90.91,2,4.68,77.32,Pass
7.83,93.55,58.82,10,8.47,80.38,Pass
4.61,85.7,40.23,4,4.37,58.6,Pass
3.26,90.09,72.02,6,8.54,75.58,Pass
6.57,66.97,41.83,10,8.98,76.97,Pass
2.9,90.74,55.71,7,7.5,68.83,Pass
4.07,54.01,65.44,10,7.85,71.34,Pass
1.55,94.74,87.45,9,5.69,75.33,Pass
1.18,77.38,64.61,9,8.71,67.29,Pass
7.74,90.86,77.14,2,6.65,82.6,Pass
6.85,72.62,94.57,10,7.66,82.53,Pass
5.87,82.18,42.89,7,8.62,69.49,Pass
3.86,76.32,51.48,10,8.88,75.85,Pass
2.21,86.58,58.67,4,8.17,71.72,Pass
2.1,54.08,60.31,4,5.52,50.49,Pass
2.75,53.02,59.66,7,8.83,68.04,Pass
4.84,62.36,89.46,10,7.14,91.03,Pass
6.0,57.98,77.84,8,8.65,77.2,Pass
5.62,93.59,71.47,4,7.38,74.53,Pass
2.96,60.96,53.56,4,5.54,53.12,Pass
7.68,98.79,84.43,3,5.85,84.57,Pass
6.17,66.84,92.3,10,6.75,92.99,Pass
4.88,59.11,84.27,4,7.95,68.14,Pass
5.28,89.48,35.09,6,5.59,71.26,Pass
3.94,82.94,73.18,10,6.9,75.47,Pass
2.73,74.91,38.07,9,5.73,52.94,Pass
3.49,77.77,50.46,3,8.08,62.64,Pass
6.3,85.96,38.57,4,6.33,70.51,Pass
1.1,61.42,71.23,3,4.38,53.69,Pass
1.81,99.82,76.2,9,4.83,77.63,Pass
1.32,98.74,41.87,7,4.31,68.08,Pass
1.29,82.52,58.03,7,6.5,68.67,Pass
6.99,59.98,62.37,10,4.53,74.89,Pass
5.93,84.01,57.14,9,4.57,72.65,Pass
4.32,53.61,42.26,5,8.71,62.41,Pass
1.68,51.53,60.14,5,8.36,59.83,Pass
4.44,62.88,80.07,10,6.26,79.45,Pass
4.31,73.13,39.26,2,8.93,54.89,Pass
2.21,93.41,39.81,3,4.0,51.74,Pass
4.04,86.36,56.29,3,7.07,63.63,Pass
3.79,87.14,91.5,7,7.08,80.73,Pass
5.31,71.27,75.11,5,6.29,69.42,Pass
5.45,67.3,75.72,4,5.98,71.45,Pass
1.32,68.55,56.72,4,6.28,50.58,Pass
3.62,99.38,70.62,4,6.07,72.79,Pass
5.38,52.01,35.61,7,7.65,48.1,Pass
4.52,93.35,73.17,9,4.68,76.36,Pass
7.0,78.93,89.8,8,4.99,92.13,Pass
5.61,71.93,71.75,5,4.9,66.0,Pass
2.14,86.26,87.42,5,5.31,74.35,Pass
1.49,74.33,78.44,3,6.63,58.14,Pass
5.5,93.67,42.23,2,4.56,64.29,Pass
1.19,95.04,89.15,10,8.34,81.45,Pass
5.1,71.09,38.99,3,5.49,53.57,Pass
7.58,63.84,67.04,9,4.81,77.92,Pass
5.03,79.62,43.53,10,7.38,64.85,Pass
3.72,95.62,35.7,5,4.19,63.08,Pass
5.5,60.53,60.32,9,7.1,78.54,Pass
4.21,81.15,52.7,10,7.49,71.44,Pass
4.82,81.58,64.16,6,5.07,72.61,Pass
7.59,86.66,69.63,8,4.21,85.96,Pass
3.7,56.58,37.62,5,5.82,50.6,Pass
7.73,85.79,42.38,2,4.49,58.45,Pass
7.34,95.45,68.52,4,4.58,85.66,Pass
2.37,58.98,55.59,6,5.27,53.49,Pass
1.49,61.88,78.75,4,5.48,56.27,Pass
1.71,98.57,74.14,8,6.65,83.03,Pass
1.13,59.05,85.74,10,7.39,74.51,Pass
1.66,92.72,76.55,7,6.96,74.27,Pass
5.78,74.61,60.8,2,4.74,58.22,Pass
1.5,62.36,75.38,8,4.86,67.57,Pass
3.23,93.54,51.52,4,8.39,80.05,Pass
6.91,72.27,53.38,6,6.79,75.59,Pass
1.16,75.74,82.34,5,8.35,70.66,Pass
6.7,67.96,61.79,6,5.86,75.0,Pass
2.97,79.65,82.9,6,7.07,72.21,Pass
1.83,58.18,84.35,7,6.62,65.39,Pass
5.88,69.55,86.45,7,5.6,77.8,Pass
5.4,98.47,90.0,9,6.35,87.87,Pass
7.14,62.91,60.86,9,6.51,74.44,Pass
6.15,82.84,54.13,10,5.0,74.24,Pass
6.62,66.26,69.93,9,5.58,76.57,Pass
2.97,88.67,57.27,3,7.96,62.33,Pass
2.24,56.54,71.06,2,8.58,59.12,Pass
6.25,98.49,77.34,3,5.8,79.18,Pass
6.65,72.69,76.3,3,5.53,73.48,Pass
7.93,61.8,57.47,4,4.98,74.98,Pass
3.89,53.67,45.01,8,7.39,60.15,Pass
3.6,58.49,60.83,3,5.62,67.22,Pass
6.43,75.99,43.56,2,8.94,65.82,Pass
3.39,66.85,88.41,7,5.63,71.14,Pass
7.52,91.44,55.75,10,5.97,90.08,Pass
7.01,71.54,44.27,4,7.02,64.92,Pass
4.0,62.44,36.53,7,8.01,46.54,Pass
6.26,80.86,73.75,4,6.35,75.26,Pass
6.28,85.34,73.21,2,6.11,71.75,Pass
1.72,58.35,55.44,6,8.98,66.1,Pass
7.32,58.38,39.3,5,4.05,54.52,Pass
4.54,51.83,59.58,8,8.48,65.66,Pass
6.79,86.82,53.67,7,4.75,79.99,Pass
3.24,83.19,75.63,8,7.93,78.86,Pass
7.27,73.73,71.35,6,7.09,78.23,Pass
3.72,92.21,56.88,5,5.71,62.84,Pass
1.08,90.28,48.07,8,8.37,65.89,Pass
7.34,79.27,94.28,8,4.06,87.89,Pass
1.64,93.41,62.24,7,5.13,62.06,Pass
3.24,60.29,76.3,9,6.83,67.99,Pass
7.65,55.6,43.43,5,5.76,58.56,Pass
7.65,63.49,64.14,6,7.05,69.95,Pass
5.01,52.85,36.65,5,4.12,55.69,Pass
5.42,76.56,65.33,2,4.58,68.06,Pass
4.14,96.83,92.84,9,4.64,90.79,Pass
3.05,51.97,58.05,2,4.95,49.9,Pass
3.3,56.11,37.34,6,6.3,50.69,Pass
5.71,72.61,36.86,7,7.76,64.01,Pass
6.27,96.69,58.28,7,8.53,86.08,Pass
6.54,65.81,44.6,6,8.18,58.13,Pass
6.53,75.36,36.4,4,4.98,57.31,Pass
1.64,52.08,80.37,6,6.21,57.26,Pass
4.46,57.42,62.51,9,5.0,73.68,Pass
1.4,99.33,52.35,3,5.32,55.16,Pass
4.85,98.26,89.0,7,6.52,77.97,Pass
4.09,50.25,41.97,10,4.34,58.8,Pass
7.21,97.59,92.36,9,5.09,92.52,Pass
3.46,81.96,53.84,9,8.68,69.1,Pass
1.82,93.4,88.3,9,6.33,76.6,Pass
2.0,72.74,71.18,8,6.23,64.07,Pass
6.33,75.78,84.6,9,4.07,86.31,Pass
5.33,74.44,94.04,7,5.24,82.75,Pass
1.71,83.34,52.3,3,8.33,56.92,Pass
1.59,56.98,92.67,3,4.82,55.45,Pass
5.91,51.5,58.37,9,6.08,68.02,Pass
1.51,65.4,58.13,2,4.07,49.66,Pass
6.75,85.23,55.42,7,6.39,77.25,Pass
5.94,60.09,67.48,7,4.11,69.73,Pass
1.57,83.67,44.25,5,8.1,52.93,Pass
1.59,98.5,68.22,4,8.12,56.22,Pass
7.91,54.7,67.5,4,7.94,81.59,Pass
3.62,83.63,80.71,2,5.42,61.16,Pass
3.59,72.19,85.02,4,8.19,62.79,Pass
6.69,93.41,61.43,5,6.71,77.79,Pass
7.63,58.86,53.14,6,5.87,59.89,Pass
7.9,84.63,50.56,4,7.13,69.14,Pass
6.27,91.91,46.68,7,4.06,73.12,Pass
3.63,97.23,38.46,6,4.71,70.37,Pass
1.58,84.16,55.55,4,7.71,61.63,Pass
6.44,74.86,51.21,7,5.22,67.31,Pass
4.91,80.89,92.99,7,6.99,83.67,Pass
3.97,93.45,68.46,9,5.93,68.81,Pass
7.34,78.53,55.84,3,8.27,69.71,Pass
1.78,51.52,69.83,2,8.76,53.03,Pass
4.45,96.55,43.35,5,8.42,68.8,Pass
1.08,84.48,61.64,8,5.35,73.53,Pass
4.28,83.83,72.57,4,4.97,59.34,Pass
1.39,60.78,64.33,4,6.37,52.81,Pass
1.83,82.94,59.11,6,4.04,50.68,Pass
1.82,69.69,94.63,6,4.13,66.54,Pass
5.54,82.56,87.82,4,6.77,75.03,Pass
6.22,55.33,72.4,10,6.6,70.18,Pass
5.08,82.89,69.16,5,8.97,80.47,Pass
7.74,99.97,72.24,4,5.01,82.9,Pass
3.62,52.41,47.08,3,5.29,53.47,Pass
3.0,98.86,58.71,10,4.57,70.59,Pass
7.08,70.35,37.37,5,8.59,65.82,Pass
2.57,93.54,63.53,4,7.89,75.47,Pass
7.74,89.12,67.58,8,8.11,87.01,Pass
1.09,78.35,48.66,9,8.51,67.09,Pass
7.79,86.92,92.84,3,6.62,83.06,Pass
1.3,93.93,89.57,8,6.26,81.17,Pass
7.24,70.21,78.33,6,5.65,76.1,Pass
4.69,66.35,67.0,6,6.95,59.63,Pass
7.95,83.38,87.2,4,6.27,84.73,Pass
1.52,90.39,42.84,6,6.26,55.54,Pass
4.88,88.11,82.43,3,8.68,69.87,Pass
7.79,89.89,42.49,5,8.92,75.97,Pass
4.66,71.78,82.65,7,7.98,74.14,Pass
5.41,90.89,51.55,2,7.78,82.08,Pass
5.87,56.01,87.63,5,7.4,68.41,Pass
4.18,77.22,91.64,7,4.83,72.07,Pass
5.39,50.29,43.93,10,4.3,65.93,Pass
5.09,66.23,62.76,3,7.45,64.03,Pass
7.31,68.32,93.86,8,7.64,93.62,Pass
1.32,69.81,64.0,7,4.23,60.63,Pass
2.97,84.77,86.81,3,8.64,70.95,Pass
7.65,69.43,70.32,9,4.46,73.05,Pass
7.23,72.43,57.52,8,5.43,80.19,Pass
4.19,61.88,52.15,6,7.36,55.59,Pass
5.34,68.66,47.19,6,4.85,64.65,Pass
2.94,61.36,80.71,8,4.28,72.67,Pass
2.32,53.66,58.19,10,5.66,60.73,Pass
4.25,80.17,65.68,10,7.83,76.52,Pass
3.47,83.41,64.54,10,6.07,69.49,Pass
5.09,80.97,69.64,7,7.26,78.86,Pass
1.54,73.17,86.93,7,6.9,56.13,Pass
7.82,68.99,93.84,4,4.11,84.16,Pass
7.9,93.17,59.46,2,8.94,78.19,Pass
5.89,75.95,84.65,8,4.21,79.27,Pass
4.75,73.96,80.87,5,8.84,77.99,Pass
3.17,51.28,69.41,2,6.75,49.26,Pass
6.7,67.06,92.36,9,8.82,77.85,Pass
5.79,69.01,47.03,7,4.57,66.53,Pass
2.14,69.94,41.56,7,6.45,62.2,Pass
7.38,79.01,86.24,3,4.85,70.0,Pass
6.76,76.68,61.35,2,4.25,60.38,Pass
7.65,80.4,85.82,3,7.09,86.02,Pass
6.08,88.24,88.59,5,5.04,83.61,Pass
5.29,90.65,38.75,3,6.94,77.1,Pass
3.93,85.91,88.01,2,4.56,75.95,Pass
7.53,97.78,61.9,8,5.66,87.9,Pass
7.06,50.91,65.63,9,7.91,72.52,Pass
1.32,59.79,72.6,7,6.19,64.19,Pass
1.18,50.38,90.58,5,7.14,70.8,Pass
3.64,82.37,36.15,7,7.24,60.7,Pass
6.67,94.9,63.61,4,8.22,77.95,Pass
7.91,62.17,76.26,9,5.62,82.97,Pass
2.05,96.35,78.36,3,7.44,66.75,Pass
5.16,53.01,76.55,6,8.81,73.86,Pass
3.67,96.72,43.07,2,7.65,61.82,Pass
7.79,67.58,52.96,7,6.45,80.55,Pass
6.89,55.07,56.52,3,7.15,62.93,Pass
6.87,74.29,83.27,5,7.7,85.0,Pass
4.28,62.84,51.73,7,7.06,62.69,Pass
3.9,64.24,47.64,9,4.08,64.09,Pass
2.91,65.36,92.45,9,4.97,74.2,Pass
1.39,90.15,35.53,7,8.05,61.49,Pass
7.05,76.96,94.87,5,5.36,87.65,Pass
6.69,65.57,75.61,9,7.66,76.94,Pass
8.0,80.52,84.71,9,5.86,95.82,Pass
7.98,85.81,52.68,2,6.61,69.93,Pass
4.89,63.63,35.86,5,4.34,51.04,Pass
